####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Agapito,    599.0000000
Agassi,      6.0000000
Agasthya,     11.0000000
Agastya,    192.0000000
Agee,      5.0000000
Agel,      5.0000000
Agent,      5.0000000
Agha,     11.0000000
Agim,     27.0000000
Agostino,    268.0000000
Agron,    133.0000000
Agustin,  10795.0000000
Agustine,    400.0000000
Agustus,    204.0000000
Ahaan,    113.0000000
Ahad,    345.0000000
Ahadu,     10.0000000
Ahamad,     35.0000000
Ahamed,     63.0000000
Ahan,    113.0000000
Ahanu,      6.0000000
Aharon,   1552.0000000
Ahaziah,      5.0000000
Ahbleza,      6.0000000
Ahian,      6.0000000
Ahijah,     67.0000000
Ahir,      5.0000000
Ahkeel,      6.0000000
Ahkeem,    267.0000000
Ahkil,      5.0000000
Ahlias,     18.0000000
Ahlijah,     41.0000000
Ahmaad,    325.0000000
Ahmad,  14446.0000000
Ahmadou,     69.0000000
Ahmaj,     10.0000000
Ahman,    202.0000000
Ahmand,     15.0000000
Ahmani,     54.0000000
Ahmar,    124.0000000
Ahmare,     18.0000000
Ahmari,    542.0000000
Ahmarion,     61.0000000
Ahmaud,    169.0000000
Ahmauri,     15.0000000
Ahmed,  10920.0000000
Ahmeer,     24.0000000
Ahmeir,     13.0000000
Ahmer,     43.0000000
Ahmere,     99.0000000
Ahmet,    384.0000000
Ahmi,     31.0000000
Ahmid,      7.0000000
Ahmier,     13.0000000
Ahmik,     12.0000000
Ahmir,   1143.0000000
Ahmire,      7.0000000
Ahmod,    162.0000000
Ahmon,    161.0000000
Ahmond,     20.0000000
Ahnaf,    158.0000000
Ahren,    774.0000000
Ahron,    661.0000000
Ahsan,    427.0000000
Ahsen,      6.0000000
Ahsir,      5.0000000
Ahyan,     67.0000000
Ahzir,     14.0000000
Ai,     11.0000000
Aian,      5.0000000
Aida,      5.0000000
Aidan,  97120.0000000
Aidanjames,      6.0000000
Aidanjohn,      5.0000000
Aidann,     10.0000000
Aidar,      5.0000000
Aiddan,     17.0000000
Aidden,    216.0000000
Aidean,     23.0000000
Aideen,     29.0000000
Aiden, 130885.0000000
Aidenjames,     50.0000000
Aidenjoseph,      5.0000000
Aidenmatthew,      5.0000000
Aidenmichael,      5.0000000
Aidenn,    112.0000000
Aideyn,     14.0000000
Aidian,    141.0000000
Aidien,      5.0000000
Aidin,    543.0000000
Aidon,    380.0000000
Aidrian,     33.0000000
Aidric,    213.0000000
Aidrik,      5.0000000
Aidyen,      5.0000000
Aidyn,   2514.0000000
Aidynn,     36.0000000
Aiedan,      5.0000000
Aieden,     11.0000000
Aiham,      5.0000000
Aiiden,     29.0000000
Aijahlon,      5.0000000
Aijalon,     97.0000000
Aikeem,     95.0000000
Aiken,    150.0000000
Ailan,      5.0000000
Aileen,      5.0000000
Ailin,      5.0000000
Ailton,     62.0000000
Aimal,      6.0000000
Aiman,    243.0000000
Aimar,     99.0000000
Aime,     10.0000000
Aimee,     78.0000000
Aimen,     26.0000000
Aimon,     36.0000000
Ainesh,     11.0000000
Ainsley,    298.0000000
Airam,     51.0000000
Airan,      5.0000000
Airen,     84.0000000
Aireon,     35.0000000
Aires,     18.0000000
Airic,     32.0000000
Airick,     16.0000000
Airik,     59.0000000
Airion,     18.0000000
Airis,      5.0000000
Airon,    166.0000000
Airrion,     72.0000000
Airron,      5.0000000
Airyn,      5.0000000
Aisa,      5.0000000
Aisaiah,     14.0000000
Aisea,     53.0000000
Aisen,     32.0000000
Aisha,     27.0000000
Aison,     40.0000000
