####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Aelynn,      6.0000000
Aemilia,     59.0000000
Aeon,     49.0000000
Aeona,      7.0000000
Aeowyn,     17.0000000
Aerabella,     84.0000000
Aeralyn,     45.0000000
Aeralynn,     26.0000000
Aerial,   1723.0000000
Aeriana,    328.0000000
Aerianna,    296.0000000
Aerica,     87.0000000
Aericka,      5.0000000
Aerie,     38.0000000
Aeriel,    719.0000000
Aeriell,     31.0000000
Aerielle,    176.0000000
Aeries,     10.0000000
Aerika,     80.0000000
Aerilyn,     87.0000000
Aerilynn,     33.0000000
Aerin,    630.0000000
Aerion,     24.0000000
Aeriona,     38.0000000
Aerionna,    101.0000000
Aeris,    811.0000000
Aerith,    124.0000000
Aeron,     60.0000000
Aerowyn,     11.0000000
Aeryal,     24.0000000
Aeryana,     12.0000000
Aeryanna,     18.0000000
Aeryn,    735.0000000
Aeryona,      5.0000000
Aesa,     10.0000000
Aesha,    595.0000000
Aeshia,      7.0000000
Aeva,    302.0000000
Aevah,     16.0000000
Aevry,      5.0000000
Aeyla,      5.0000000
Afaf,     22.0000000
Afeni,     21.0000000
Aferdita,      6.0000000
Affinity,      5.0000000
Afi,     52.0000000
Afia,    355.0000000
Afifa,     51.0000000
Afifah,     15.0000000
Afina,     10.0000000
Afiya,    224.0000000
Afiyah,      5.0000000
Afnan,    286.0000000
Afomia,     38.0000000
Afra,    121.0000000
Afrah,    143.0000000
Afreen,    151.0000000
Africa,    913.0000000
Africia,      5.0000000
Afrika,    239.0000000
Afrin,     11.0000000
Afrodita,     16.0000000
Afsa,     19.0000000
Afsana,     91.0000000
Afsaneh,     17.0000000
Afshan,     41.0000000
Afsheen,     54.0000000
Aftan,    109.0000000
Aften,    102.0000000
Aftin,     61.0000000
Afton,   2852.0000000
Aftyn,    144.0000000
Afua,    194.0000000
Agam,     63.0000000
Agape,     41.0000000
Agapita,      6.0000000
Agata,    254.0000000
Agatha,   1617.0000000
Agathe,     11.0000000
Agela,      6.0000000
