,,,Chair,Speaker,YSP,,,,,,,,,,,,,,,,,,,,,,,,
1533044415,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,,Talk starts 09:24 Talk ends 09:35 Q/A ends 09:40 ;,,,,,,,,,,,,,,
1533044416,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044421,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044423,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044423,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044424,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044426,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044437,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044452,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:C, ;,,,,,,,,,,,,,,,
1533044457,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044826,7/31/18 6:47,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305058,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305061,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:C,M:Q,, ;,,,,,,,,,,,,,
1533305086,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305087,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305087,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305088,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,,Talk starts 09:50 Talk ends 10:01 Q/A ends 10:04 ;,,,,,,,,,,,,,,
1533305089,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305092,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305093,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305094,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305094,8/3/18 7:04,Birkby,M,M,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305097,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305099,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533305099,8/3/18 7:04,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533308159,8/3/18 7:55,Birkby,M,F,6,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1532983528,7/30/18 13:45,Bonavita,M,F,PD,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1532983562,7/30/18 13:46,Bonavita,M,F,PD,,,,,,M:Q,M:Q,F:Q,,Talk starts 16:31 Talk ends  16:42 Q/A ends 16:45 ;,,,,,,,,,,,,,,
1532983565,7/30/18 13:46,Bonavita,M,F,PD,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1532983565,7/30/18 13:46,Bonavita,F,M,PD,,,,,,M:Q,M:Q,M:Q,F:Q,,(second person, M, asked two questions, so i recorded two entries for that) ;,,,,,,,,,,
1532983568,7/30/18 13:46,Bonavita,M,F,PD,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1532983569,7/30/18 13:46,Bonavita,M,F,PD,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1533055425,7/31/18 9:43,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,
1533055434,7/31/18 9:43,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:C,M:Q,M:Q,M:Q,,Talk starts 12:28 Talk ends 12:37 Q/A ends 12:44 Comment was requested by speaker ;,,,,,,,,,
1533055470,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,
1533055478,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,
1533055480,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,
1533055481,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:C,F:Q,M:Q,M:Q,M:Q,M:Q,,Talked over female question and didn’t answer. ;,,,,,,,,,,,
1533055481,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,
1533055487,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,
1533055488,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:Q,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,
1533055488,7/31/18 9:44,Brandenburg,M,M,28,,,,,,M:C,F:Q,M:Q,M:Q,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,
1533240985,8/2/18 13:16,Bravi,M,M,0,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533240996,8/2/18 13:16,Bravi,M,M,0,,,,,,M:Q,M:Q,, ;,,,,,,,,,,,,,,,
1533240997,8/2/18 13:16,Bravi,M,M,0,,,,,,M:Q,M:Q,M:Q,,The speaker said he was unable to answer a question, so the chair offered an answer (from the same collaboration). ;,,,,,,,,,,,,,
1533241013,8/2/18 13:16,Bravi,M,M,0,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533241070,8/2/18 13:17,Bravi,M,M,0,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042378,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042379,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042380,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042386,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042386,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042388,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533042389,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:C,, ;,,,,,,,,,,,,,,
